time,precipitation_sum,temperature_2m_mean,et0_fao_evapotranspiration,city,water_balance,SPI,precip_lag1,temp_lag1,precip_lag2,temp_lag2,precip_lag3,temp_lag3,precip_rolling3,precip_rolling6,temp_rolling3,et0_rolling3,month,season,season_encoded,drought_label
2013-05-01,2.7,21.83870967741936,213.06,Errachidia,-210.36,0.1297088312597698,3.4000000000000004,19.36,24.8,15.158064516129032,0.4,10.832142857142856,10.3,5.433333333333334,18.785591397849466,177.68999999999997,5,Spring,1,No Drought
2013-06-01,1.4,27.446666666666665,239.37,Errachidia,-237.97,-0.7437261763599758,2.7,21.83870967741936,3.4000000000000004,19.36,24.8,15.158064516129032,2.4999999999999987,5.666666666666667,22.88179211469534,211.35,6,Summer,2,No Drought
2013-07-01,2.3,30.967741935483872,250.2,Errachidia,-247.9,-0.7847850869745793,1.4,27.446666666666665,2.7,21.83870967741936,3.4000000000000004,19.36,2.1333333333333324,5.833333333333332,26.75103942652329,234.20999999999995,7,Summer,2,No Drought
2013-08-01,2.6,30.212903225806453,224.68,Errachidia,-222.08,-0.7885177152122704,2.3,30.967741935483872,1.4,27.446666666666665,2.7,21.83870967741936,2.0999999999999988,6.199999999999999,29.542437275985662,238.0833333333333,8,Summer,2,No Drought
2013-09-01,10.3,23.94333333333333,161.8,Errachidia,-151.5,-0.4563138020577518,2.6,30.212903225806453,2.3,30.967741935483872,1.4,27.446666666666665,5.0666666666666655,3.7833333333333337,28.374659498207887,212.2266666666666,9,Autumn,3,No Drought
2013-10-01,2.7,22.67419354838709,151.47,Errachidia,-148.77,-0.4413832891069869,10.3,23.94333333333333,2.6,30.212903225806453,2.3,30.967741935483872,5.199999999999999,3.6666666666666674,25.61014336917562,179.31666666666663,10,Autumn,3,No Drought
2013-11-01,15.9,13.656666666666666,85.17999999999999,Errachidia,-69.27999999999999,0.0550562665059454,2.7,22.67419354838709,10.3,23.94333333333333,2.6,30.212903225806453,9.633333333333333,5.866666666666667,20.09139784946236,132.81666666666663,11,Autumn,3,No Drought
2013-12-01,2.3000000000000003,7.82258064516129,58.75,Errachidia,-56.45,-0.2435539925093523,15.9,13.656666666666666,2.7,22.67419354838709,10.3,23.94333333333333,6.966666666666665,6.016666666666667,14.71781362007168,98.46666666666664,12,Winter,0,No Drought
2014-01-01,18.1,8.929032258064517,67.75,Errachidia,-49.65,0.3312707560950957,2.3000000000000003,7.82258064516129,15.9,13.656666666666666,2.7,22.67419354838709,12.1,8.65,10.136093189964155,70.55999999999996,1,Winter,0,No Drought
2014-02-01,0.2,11.714285714285714,97.36,Errachidia,-97.16,-0.254751877222426,18.1,8.929032258064517,2.3000000000000003,7.82258064516129,15.9,13.656666666666666,6.8666666666666645,8.250000000000002,9.48863287250384,74.61999999999996,2,Winter,0,No Drought
